Pytanie;Odpowiedź;Rozdział
"Ośrodkowe uszkodzenie nerwu twarzowego objawia się jako:
A. obniżony kącik ust, wygładzony fałd nosowo-wargowy, wygładzone czoło po stronie przeciwnej do uszkodzenia
B. obniżony kącik ust, wygładzony fałd nosowo-wargowy po stronie przeciwnej do uszkodzenia
C. zaburzenia smaku w przednich ⅔ języka
D. a+c
E. b+c";B. obniżony kącik ust, wygładzony fałd nosowo-wargowy po stronie przeciwnej do uszkodzenia (egzamin neurologia II 2026 cykl A-3.docx, pyt. 1);Badanie neurologiczne
"Najbardziej typowym objawem w neuroboreliozie jest:
A. ostre niedowłady połowicze
B. napady padaczkowe
C. porażenie nerwu twarzowego
D. sztywność karku
E. drżenie zamiarowe";C. porażenie nerwu twarzowego (egzamin neurologia II 2026 cykl A-3.docx, pyt. 21);Badanie neurologiczne
Badanie neurologiczne: co trzeba pamiętać o: Kolejność?;Kolejność: wrażenie ogólne, mowa i chód, objawy oponowe, nerwy czaszkowe, układ ruchu, odruchy, czucie, objawy korzeniowe, móżdżek, testy dodatkowe.;Badanie neurologiczne
Badanie neurologiczne: co trzeba pamiętać o: Objawy oponowe?;Objawy oponowe: sztywność karku, Kernig, Brudziński, Flatau i Herman. W pytaniu egzaminacyjnym łącz je z zapaleniem opon lub krwotokiem podpajęczynówkowym.;Badanie neurologiczne
Badanie neurologiczne: co trzeba pamiętać o: Nerwy czaszkowe ucz się parami funkcji?;Nerwy czaszkowe ucz się parami funkcji: I węch, II wzrok i dno oka, III-IV-VI ruchy gałek i źrenice, V czucie twarzy i żucie, VII mimika, VIII słuch i równowaga, IX-X gardło i podniebienie, XI SCM/czworoboczny, XII język.;Badanie neurologiczne
Badanie neurologiczne: co trzeba pamiętać o: Skala Lovetta?;Skala Lovetta: 0 brak skurczu, 1 ślad, 2 ruch w odciążeniu, 3 ruch przeciw grawitacji, 4 ruch przeciw oporowi, 5 norma.;Badanie neurologiczne
Badanie neurologiczne: co trzeba pamiętać o: ten punkt?;Odruchy: biceps C5-C6, triceps C7, promieniowy C5-C6, kolanowy L3-L4, skokowy S1-S2. Patologiczne: Babiński, Rossolimo, Chaddock, Gordon, Oppenheim.;Badanie neurologiczne
Badanie neurologiczne: co trzeba pamiętać o: Różnicuj Romberga?;"Różnicuj Romberga: pogorszenie po zamknięciu oczu sugeruje czucie głębokie/przedsionek; móżdżek daje niestabilność także przy oczach otwartych.";Badanie neurologiczne
Badanie neurologiczne: co trzeba pamiętać o: ten punkt?;Język zbacza w stronę uszkodzenia XII, żuchwa w stronę porażoną V, języczek zwykle w stronę zdrową przy IX/X.;Badanie neurologiczne
Badanie neurologiczne: co trzeba pamiętać o: ten punkt?;"Objaw Lasegue'a to ból po tylnej stronie uda przy unoszeniu wyprostowanej kończyny; Mackiewicz prowokuje ból z przodu uda.";Badanie neurologiczne
Badanie neurologiczne: odtwórz fakt ze skryptu zaczynający się od: objaw Flataua - rozszerzenie źrenic przy zgięciu...;"objaw Flataua - rozszerzenie źrenic przy zgięciu karku;";Badanie neurologiczne
Badania pomocnicze w neurologii: co trzeba pamiętać o: Punkcja lędźwiowa?;Punkcja lędźwiowa: zwykle L3-L4, po wykluczeniu wzmożonego ciśnienia śródczaszkowego, zaburzeń krzepnięcia i zakażenia skóry w miejscu wkłucia.;Badania pomocnicze w neurologii
Badania pomocnicze w neurologii: co trzeba pamiętać o: Prawidłowy PMR?;Prawidłowy PMR: wodojasny, ciśnienie ok. 5-18 cm H2O, białko 0,2-0,4 g/l, glukoza 2,2-3,9 mmol/l lub około 65% surowicy, komórki poniżej 5/ul.;Badania pomocnicze w neurologii
Badania pomocnicze w neurologii: co trzeba pamiętać o: Rozszczepienie białkowo-komórkowe?;Rozszczepienie białkowo-komórkowe: wysokie białko bez istotnej pleocytozy, klasycznie w zapalnej poliradikulopatii.;Badania pomocnicze w neurologii
Badania pomocnicze w neurologii: co trzeba pamiętać o: ten punkt?;"EEG: alfa 8-13 Hz z tyłu i zanika po otwarciu oczu; beta 14-30 Hz; theta 4-7 Hz; delta 0-3 Hz u czuwającego dorosłego jest patologiczna.";Badania pomocnicze w neurologii
Badania pomocnicze w neurologii: co trzeba pamiętać o: ENG/elektroneurografia?;ENG/elektroneurografia: zwolnienie przewodzenia wskazuje na demielinizację, spadek amplitudy na uszkodzenie aksonalne.;Badania pomocnicze w neurologii
Badania pomocnicze w neurologii: co trzeba pamiętać o: ten punkt?;VEP: fala około 100 ms, wydłużenie latencji sugeruje uszkodzenie drogi wzrokowej.;Badania pomocnicze w neurologii
Badania pomocnicze w neurologii: co trzeba pamiętać o: ten punkt?;BAEP: ocena pnia i nerwu VIII, przydatne m.in. w nerwiaku osłonkowym VIII.;Badania pomocnicze w neurologii
Badania pomocnicze w neurologii: co trzeba pamiętać o: ten punkt?;SSEP: ocena dróg somatosensorycznych, korzeni, splotów, rdzenia i pnia.;Badania pomocnicze w neurologii
Badania pomocnicze w neurologii: odtwórz fakt ze skryptu zaczynający się od: Pierwsze trzy objawy badamy przy pomocy prób palec-nos i pięta-kolano...;Pierwsze trzy objawy badamy przy pomocy prób palec-nos i pięta-kolano (zborność tułowia badamy poprzez siadanie z pozycji leżącej bez użycia rąk).;Badania pomocnicze w neurologii
Badania pomocnicze w neurologii: odtwórz fakt ze skryptu zaczynający się od: w miastenii - badamy apokamnozę - każemy pacjentowi naprzemiennie...;"w miastenii - badamy apokamnozę - każemy pacjentowi naprzemiennie zamykać i otwierać oczy przez około minutę - obserwujemy, czy następuje męczliwość skutkująca brakiem możliwości otworzenia oczu;";Badania pomocnicze w neurologii
